Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
Doctrine and Covenants,Doctrine and Covenants,45,57,12,"For they that are wise and have received the truth, and have taken the Holy Spirit for their guide, and have not been deceived—verily I say unto you, they shall not be hewn down and cast into the fire, but shall abide the day.",75
New Testament,Revelation,21,4,12,"And God shall wipe away all tears from their eyes; and there shall be no more death, neither sorrow, nor crying, neither shall there be any more pain: for the former things are passed away.",27
Doctrine and Covenants,Doctrine and Covenants,121,42,12,"By kindness, and pure knowledge, which shall greatly enlarge the soul without hypocrisy, and without guile—",46
Pearl of Great Price,Moses,6,34,12,"Behold my Spirit is upon you, wherefore all thy words will I justify; and the mountains shall flee before you, and the rivers shall turn from their course; and thou shalt abide in me, and I in you; therefore walk with me.",68
Doctrine and Covenants,Doctrine and Covenants,88,13,12,"The light which is in all things, which giveth life to all things, which is the law by which all things are governed, even the power of God who sitteth upon his throne, who is in the bosom of eternity, who is in the midst of all things.",141
Doctrine and Covenants,Doctrine and Covenants,50,24,12,"That which is of God is light; and he that receiveth light, and continueth in God, receiveth more light; and that light groweth brighter and brighter until the perfect day.",46
Doctrine and Covenants,Doctrine and Covenants,18,11,12,"For, behold, the Lord your Redeemer suffered death in the flesh; wherefore he suffered the pain of all men, that all men might repent and come unto him.",47
Doctrine and Covenants,Doctrine and Covenants,20,9,12,"Which contains a record of a fallen people, and the fulness of the gospel of Jesus Christ to the Gentiles and to the Jews also;",84
Book of Mormon,Alma,36,21,12,"Yea, I say unto you, my son, that there could be nothing so exquisite and so bitter as were my pains. Yea, and again I say unto you, my son, that on the other hand, there can be nothing so exquisite and sweet as was my joy.",30
Book of Mormon,Alma,34,10,12,"For it is expedient that there should be a great and last sacrifice; yea, not a sacrifice of man, neither of beast, neither of any manner of fowl; for it shall not be a human sacrifice; but it must be an infinite and eternal sacrifice.",41
Pearl of Great Price,Moses,6,60,12,"For by the water ye keep the commandment; by the Spirit ye are justified, and by the blood ye are sanctified;",68
Doctrine and Covenants,Doctrine and Covenants,20,54,12,"And see that there is no iniquity in the church, neither hardness with each other, neither lying, backbiting, nor evil speaking;",84
Book of Mormon,1 Nephi,15,24,12,"And I said unto them that it was the word of God; and whoso would hearken unto the word of God, and would hold fast unto it, they would never perish; neither could the temptations and the fiery darts of the adversary overpower them unto blindness, to lead them away to destruction.",36
Pearl of Great Price,Moses,1,3,12,"And God spake unto Moses, saying: Behold, I am the Lord God Almighty, and Endless is my name; for I am without beginning of days or end of years; and is not this endless?",42
Pearl of Great Price,Moses,1,4,12,"And, behold, thou art my son; wherefore look, and I will show thee the workmanship of mine hands; but not all, for my works are without end, and also my words, for they never cease.",42
Pearl of Great Price,Moses,1,12,12,"And it came to pass that when Moses had said these words, behold, Satan came tempting him, saying: Moses, son of man, worship me.",42
New Testament,Matthew,25,39,12,"Or when saw we thee sick, or in prison, and came unto thee?",46
Doctrine and Covenants,Doctrine and Covenants,109,15,12,"And that they may grow up in thee, and receive a fulness of the Holy Ghost, and be organized according to thy laws, and be prepared to obtain every needful thing;",80
Pearl of Great Price,Moses,1,13,12,"And it came to pass that Moses looked upon Satan and said: Who art thou? For behold, I am a son of God, in the similitude of his Only Begotten; and where is thy glory, that I should worship thee?",42
Pearl of Great Price,Abraham,2,11,12,"And I will bless them that bless thee, and curse them that curse thee; and in thee (that is, in thy Priesthood) and in thy seed (that is, thy Priesthood), for I give unto thee a promise that this right shall continue in thee, and in thy seed after thee (that is to say, the literal seed, or the seed of the body) shall all the families of the earth be blessed, even with the blessings of the Gospel, which are the blessings of salvation, even of life eternal.",25
Book of Mormon,2 Nephi,2,16,12,"Wherefore, the Lord God gave unto man that he should act for himself. Wherefore, man could not act for himself save it should be that he was enticed by the one or the other.",30
New Testament,2 Corinthians,3,3,11,"Forasmuch as ye are manifestly declared to be the epistle of Christ ministered by us, written not with ink, but with the Spirit of the living God; not in tables of stone, but in fleshy tables of the heart.",18
New Testament,John,4,9,11,"Then saith the woman of Samaria unto him, How is it that thou, being a Jew, askest drink of me, which am a woman of Samaria? for the Jews have no dealings with the Samaritans.",54
Old Testament,Isaiah,53,3,11,"He is despised and rejected of men; a man of sorrows, and acquainted with grief: and we hid as it were our faces from him; he was despised, and we esteemed him not.",12
New Testament,John,4,23,11,"But the hour cometh, and now is, when the true worshippers shall worship the Father in spirit and in truth: for the Father seeketh such to worship him.",54
Doctrine and Covenants,Doctrine and Covenants,45,4,11,"Saying: Father, behold the sufferings and death of him who did no sin, in whom thou wast well pleased; behold the blood of thy Son which was shed, the blood of him whom thou gavest that thyself might be glorified;",75
Book of Mormon,Alma,5,15,11,"Do ye exercise faith in the redemption of him who created you? Do you look forward with an eye of faith, and view this mortal body raised in immortality, and this corruption raised in incorruption, to stand before God to be judged according to the deeds which have been done in the mortal body?",62
Doctrine and Covenants,Doctrine and Covenants,93,2,11,And that I am the true light that lighteth every man that cometh into the world;,53
New Testament,1 Corinthians,12,23,11,"And those members of the body, which we think to be less honourable, upon these we bestow more abundant honour; and our uncomely parts have more abundant comeliness.",31
Doctrine and Covenants,Doctrine and Covenants,25,10,11,"And verily I say unto thee that thou shalt lay aside the things of this world, and seek for the things of a better.",16
Doctrine and Covenants,Doctrine and Covenants,20,31,11,"And we know also, that sanctification through the grace of our Lord and Savior Jesus Christ is just and true, to all those who love and serve God with all their mights, minds, and strength.",84
Book of Mormon,Alma,42,16,11,"Now, repentance could not come unto men except there were a punishment, which also was eternal as the life of the soul should be, affixed opposite to the plan of happiness, which was as eternal also as the life of the soul.",31
